VM_Name,Resource_Group,VM_Size,Avg_CPU_Group,Monthly_Cost
vm-prod-01,rg-finance,Standard_D8s_v5,5-20%,340
vm-dev-02,rg-dev,Standard_B2s,<5%,35
vm-sql-01,rg-data,Standard_E16s_v5,>20%,820
vm-web-01,rg-web,Standard_D4s_v5,5-20%,170
vm-test-04,rg-dev,Standard_D8s_v5,<5%,340
vm-prod-02,rg-finance,Standard_D4s_v5,5-20%,170
vm-sql-02,rg-data,Standard_E16s_v5,>20%,820
vm-app-01,rg-web,Standard_D4s_v5,<5%,170
vm-dev-05,rg-dev,Standard_B2s,5-20%,35
vm-test-09,rg-dev,Standard_D4s_v5,<5%,170
vm-prod-03,rg-finance,Standard_D16s_v5,<5%,680
vm-sql-03,rg-data,Standard_E32s_v5,>20%,1640
vm-web-02,rg-web,Standard_D4s_v5,5-20%,170
vm-dev-11,rg-dev,Standard_B2s,<5%,35
vm-app-02,rg-web,Standard_D8s_v5,5-20%,340
vm-prod-04,rg-finance,Standard_D8s_v5,5-20%,340
vm-dev-12,rg-dev,Standard_B2s,<5%,35
vm-sql-04,rg-data,Standard_E16s_v5,>20%,820
vm-web-03,rg-web,Standard_D4s_v5,5-20%,170
vm-test-15,rg-dev,Standard_D8s_v5,<5%,340
vm-prod-05,rg-finance,Standard_D4s_v5,5-20%,170
vm-sql-05,rg-data,Standard_E16s_v5,>20%,820
vm-app-03,rg-web,Standard_D4s_v5,<5%,170
vm-dev-16,rg-dev,Standard_B2s,5-20%,35
vm-test-20,rg-dev,Standard_D4s_v5,<5%,170
vm-prod-06,rg-finance,Standard_D16s_v5,<5%,680
vm-sql-06,rg-data,Standard_E32s_v5,>20%,1640
vm-web-04,rg-web,Standard_D4s_v5,5-20%,170
vm-dev-22,rg-dev,Standard_B2s,<5%,35
vm-app-04,rg-web,Standard_D8s_v5,5-20%,340
